Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
APRIL 2011,11.5,17.5,5.4,24.9,-2.1,117.9,8,11,0,4,1,2,97%,100%,100%
MAY 2011,15.3,22.3,8.4,31.1,2.5,45.8,7,12,0,12,0,0,100%,100%,100%
JUNE 2011,20.8,28.8,12.8,33.1,8.4,10.5,2,3,0,6,0,0,100%,100%,96%
JULY 2011,24.5,32.9,16.1,38.0,9.0,0.2,0,1,0,3,0,0,100%,100%,87%
AUGUST 2011,22.8,30.7,15.0,38.2,7.8,9.0,2,2,0,6,0,0,100%,100%,96%
SEPTEMBER 2011,18.4,26.6,10.1,31.4,6.6,17.1,3,5,0,2,0,0,96%,100%,100%
OCTOBER 2011,11.8,19.4,4.1,27.9,-1.9,29.6,4,10,0,1,0,2,98%,96%,96%
NOVEMBER 2011,1.8,6.2,-2.5,12.4,-8.5,55.4,7,8,5,1,4,21,97%,93%,96%
DECEMBER 2011,-0.7,4.6,-6.0,12.0,-9.0,5.2,2,2,1,1,6,30,98%,98%,96%
JANUARY 2012,-0.5,5.7,-6.7,10.4,-15.6,15.5,5,6,9,0,4,31,96%,93%,100%
FEBRUARY 2012,-0.7,5.6,-7.1,12.9,-24.6,5.9,2,4,5,0,3,28,95%,89%,93%
MARCH 2012,2.8,9.4,-3.8,15.6,-15.0,21.0,5,7,7,1,0,28,100%,100%,96%
APRIL 2012,12.8,19.7,6.0,23.2,-1.0,36.4,10,14,0,12,0,1,97%,90%,100%
MAY 2012,17.1,24.7,9.6,31.2,6.2,24.6,6,7,0,18,0,0,100%,100%,100%
JUNE 2012,21.4,29.3,13.6,34.0,8.6,44.5,4,7,0,12,0,0,100%,100%,96%
JULY 2012,23.5,30.9,16.0,33.8,10.0,3.8,1,4,0,8,0,0,100%,100%,100%
AUGUST 2012,24.3,32.9,15.8,36.4,11.8,0.0,0,0,0,0,0,0,100%,100%,96%
SEPTEMBER 2012,19.1,27.1,11.2,31.2,6.6,7.8,3,4,0,6,0,0,100%,100%,100%
OCTOBER 2012,14.3,21.2,7.3,28.4,2.0,25.3,8,12,0,7,3,0,100%,98%,100%
NOVEMBER 2012,8.0,12.8,3.3,20.0,-2.4,67.5,8,12,1,0,3,5,100%,93%,96%
DECEMBER 2012,1.4,6.1,-3.2,11.0,-9.6,61.9,5,8,6,1,6,27,100%,96%,100%
JANUARY 2013,0.4,5.6,-4.7,14.0,-11.4,51.8,5,7,5,0,1,25,100%,100%,100%
FEBRUARY 2013,4.3,10.1,-1.5,14.6,-5.4,8.2,3,4,1,1,1,24,100%,96%,100%
MARCH 2013,7.3,13.8,0.8,21.6,-7.4,19.3,5,7,3,1,0,13,100%,96%,100%
APRIL 2013,11.9,19.1,4.8,25.0,-1.6,32.9,7,8,0,6,0,1,100%,100%,100%
